"","8","",CAMIRA,CLOSE,DONCASTER EAST,"3109"
"","13","",JISING,COURT,DONCASTER EAST,"3109"
"","72","",HUSBAND,ROAD,FOREST HILL,"3131"
"5","10","",KIREEP,ROAD,BALWYN,"3103"
"","12","",MEPPEL,DRIVE,CLAYTON SOUTH,"3169"
"","31","",BURNETT,STREET,MITCHAM,"3132"
"1","8","",RUPERT,STREET,DONCASTER EAST,"3109"
"","18","",MILLER,CRESCENT,MOUNT WAVERLEY,"3149"
"2","9","",ROBERTS,AVENUE,MULGRAVE,"3170"
"","3","",WINMALEE,ROAD,BALWYN,"3103"
"","13","",VENTNOR,STREET,CHADSTONE,"3148"
"3","14","",STATION,AVENUE,GLEN IRIS,"3146"
"","66","",STAUGHTON,ROAD,GLEN IRIS,"3146"
"3","17","19",GRANDVIEW,ROAD,WHEELERS HILL,"3150"
"17","28","36",JAMES,STREET,BOX HILL,"3128"
"","25","",SURREY,STREET,BOX HILL SOUTH,"3128"
"","159","",AYR,STREET,DONCASTER,"3108"
"","13","",HIGH,STREET,DONCASTER,"3108"
"","18","",TRENTBRIDGE,ROAD,MULGRAVE,"3170"
"","8","",BERWICK,RISE,TEMPLESTOWE,"3106"
"2","85","",CARRINGTON,ROAD,BOX HILL,"3128"
"2","17","",DOVER,STREET,OAKLEIGH EAST,"3166"
"","9","",MARK,COURT,CHADSTONE,"3148"
"","9","",STRATHALLYN,ROAD,RINGWOOD,"3134"
"3","8","",IRELAND,STREET,RINGWOOD,"3134"
"206","770B","",TOORAK,ROAD,GLEN IRIS,"3146"
"","4","",JENNIFER,COURT,RINGWOOD,"3134"
"","11","",ROSWELL,STREET,GLEN WAVERLEY,"3150"
"","5","",CREEK,ROAD,MITCHAM,"3132"
"","2","",AILSA,COURT,BALWYN NORTH,"3104"
"","12","",PEACOCK,STREET,BURWOOD,"3125"
"1","467","",WARRIGAL,ROAD,ASHWOOD,"3147"
"","5","",VISCOUNT,DRIVE,DONCASTER,"3108"
"","66","",LONG VALLEY,WAY,DONCASTER EAST,"3109"
"24","750","",DONCASTER,ROAD,DONCASTER,"3108"
"","23","",AUTUMN,TERRACE,CLAYTON SOUTH,"3169"
"","37","",RADNOR,STREET,CAMBERWELL,"3124"
"21","596","",RIVERSDALE,ROAD,CAMBERWELL,"3124"
"","50","",CANTERBURY,ROAD,CAMBERWELL,"3124"
"","225","",MONT ALBERT,ROAD,SURREY HILLS,"3127"
"5","170","",FORSTER,ROAD,MOUNT WAVERLEY,"3149"
"","86","",STANLEY,ROAD,VERMONT SOUTH,"3133"
"","7","",FLETCHER,PARADE,BURWOOD,"3125"
"1","42","",TERRARA,ROAD,VERMONT,"3133"
"","1837","",DANDENONG,ROAD,OAKLEIGH EAST,"3166"
"104","484","",ELGAR,ROAD,BOX HILL,"3128"
"9","2","4",SAMADA,STREET,NOTTING HILL,"3168"
"","2","",WILFRED,COURT,GLEN WAVERLEY,"3150"
"","1","",MARWAL,AVENUE,BALWYN NORTH,"3104"
"","16","",JURANG,STREET,BALWYN,"3103"
"4","928","",DONCASTER,ROAD,DONCASTER EAST,"3109"
"","29","",MALCOLM,STREET,BLACKBURN,"3130"
"","71","",MAPLE,STREET,BLACKBURN,"3130"
"5","33","37",HEATHERDALE,ROAD,RINGWOOD,"3134"
"","2","",YONGALA,STREET,BALWYN,"3103"
"","32","",URSA,STREET,BALWYN NORTH,"3104"
"","278","",DONCASTER,ROAD,BALWYN NORTH,"3104"
"","12","",DENIS,STREET,VERMONT,"3133"
"","22A","",SURREY,STREET,BOX HILL SOUTH,"3128"
"2","4","",MYERS,AVENUE,GLEN WAVERLEY,"3150"
"","14","",CORHAMPTON,ROAD,BALWYN NORTH,"3104"
"","883","",HIGH STREET,ROAD,GLEN WAVERLEY,"3150"
"","137","",WESTALL,ROAD,CLAYTON SOUTH,"3169"
"2","22","",SIMPSONS,ROAD,BOX HILL,"3128"
"","4","",MAYFIELD,DRIVE,MOUNT WAVERLEY,"3149"
"","57","",MARIANNE,WAY,MOUNT WAVERLEY,"3149"
"","26A","",ATHERTON,ROAD,OAKLEIGH,"3166"
"1","21","",BELMONT,AVENUE,GLEN IRIS,"3146"
"7","1407","",TOORAK,ROAD,CAMBERWELL,"3124"
"","117","",BRUNSWICK,ROAD,MITCHAM,"3132"
"","28","",HEATHMONT,ROAD,RINGWOOD,"3134"
"","18","",ADRIAN,AVENUE,VERMONT SOUTH,"3133"
"","332","",BURWOOD,HIGHWAY,BURWOOD,"3125"
"","15","",SELBY,STREET,MOUNT WAVERLEY,"3149"
"","12","",ANDREW,STREET,FOREST HILL,"3131"
"","7","",JEAN,STREET,FOREST HILL,"3131"
"","51","",SUMMERHILL,ROAD,GLEN IRIS,"3146"
"","8","",COURAGE,COURT,GLEN WAVERLEY,"3150"
"","2","",KEAN,STREET,RINGWOOD,"3134"
"","7","",KALANG,ROAD,CAMBERWELL,"3124"
"","90","",COOLOONGATTA,ROAD,CAMBERWELL,"3124"
"","49","51",AMBER,GROVE,MOUNT WAVERLEY,"3149"
"2","229","",BELMORE,ROAD,BALWYN NORTH,"3104"
"3","63","",STOCKDALE,AVENUE,CLAYTON,"3168"
"","17","",SUNHILL,AVENUE,RINGWOOD,"3134"
"","29","31",CARRINGTON,ROAD,BOX HILL,"3128"
"1","9","",MONT,COURT,VERMONT SOUTH,"3133"
"","9","11",ACHERON,STREET,DONCASTER,"3108"
"","7","",BAIRD,STREET,DONCASTER,"3108"
"3","98","",CHURCH,ROAD,DONCASTER,"3108"
"","100","",ELEY,ROAD,BURWOOD EAST,"3151"
"","356","",HAUGHTON,ROAD,CLAYTON,"3168"
"","12","",CHILTERN,COURT,DONCASTER EAST,"3109"
"","49","",RATHMULLEN,QUADRANT,DONCASTER,"3108"
"","3","",LUTON,COURT,DONCASTER EAST,"3109"
"","76","",ST CLEMS,ROAD,DONCASTER EAST,"3109"
"30","2","",MONASH GREEN,DRIVE,CLAYTON,"3168"
"","76","",ESDALE,STREET,NUNAWADING,"3131"
"","14","",CLOVERDALE,COURT,MULGRAVE,"3170"
"","5","",ELMTREE,TERRACE,CHADSTONE,"3148"
"","11","",DUNDEE,AVENUE,CHADSTONE,"3148"
"","3","",QUAY,PLACE,MULGRAVE,"3170"
"","7","",MITCHELL,AVENUE,ASHWOOD,"3147"
"2","4","",PAUL,STREET,DONCASTER,"3108"
"","41","",SHARON,STREET,DONCASTER,"3108"
"","14","",MARIANNE,WAY,DONCASTER,"3108"
"","10","",PRUNELLA,CLOSE,DONCASTER,"3108"
"","10","",NORWEENA,STREET,DONCASTER,"3108"
"","4","",MORAN,COURT,VERMONT SOUTH,"3133"
"","29","",CLUNIES ROSS,CRESCENT,MULGRAVE,"3170"
"","559","",WARRIGAL,ROAD,ASHWOOD,"3147"
"","13","",ANDREW,STREET,MOUNT WAVERLEY,"3149"
"","5","",DUNOON,COURT,MULGRAVE,"3170"
"1","20","",AVONDALE,GROVE,MOUNT WAVERLEY,"3149"
"","4","",GLEN CAIRN,AVENUE,RINGWOOD,"3134"
"","11","",COTTESLOE,COURT,DONCASTER EAST,"3109"
"","15","",GREVILLEA,ROAD,DONCASTER EAST,"3109"
"","74","",POLARIS,DRIVE,DONCASTER EAST,"3109"
"","5","",FERNLEA,CRESCENT,DONCASTER EAST,"3109"
"1","70","",FRANKLIN,ROAD,DONCASTER EAST,"3109"
"","102","",GEORGE,STREET,DONCASTER EAST,"3109"
"","75","",TRISTANIA,STREET,DONCASTER EAST,"3109"
"","43","",RIX,STREET,GLEN IRIS,"3146"
"","5","",NICOLE,STREET,MOUNT WAVERLEY,"3149"
"7","355","",BURWOOD,HIGHWAY,BURWOOD,"3125"
"","7","",FARADAY,COURT,GLEN WAVERLEY,"3150"
"","45","",HAIG,STREET,BURWOOD,"3125"
"1","33","",SEYMOUR,GROVE,CAMBERWELL,"3124"
"","14","",TELOPEA,AVENUE,DONCASTER EAST,"3109"
"","41","",BEDFORD,ROAD,RINGWOOD,"3134"
"","18","",FULLER,STREET,MITCHAM,"3132"
"","45","",BARNES,AVENUE,BURWOOD,"3125"
"","44","",VERNON,STREET,HUNTINGDALE,"3166"
"3","18","",LUCKIE,STREET,NUNAWADING,"3131"
"","76","80",COLUMBIA,DRIVE,WHEELERS HILL,"3150"
"","29","",LEWIS,STREET,MOUNT WAVERLEY,"3149"
"2","29","",BAILY,STREET,MOUNT WAVERLEY,"3149"
"1","39","",BROUGHAM,STREET,BOX HILL,"3128"
"","1","",MANSFIELD,STREET,BLACKBURN SOUTH,"3130"
"11","758","",BLACKBURN,ROAD,CLAYTON,"3168"
"","17","",DELLWOOD,COURT,TEMPLESTOWE,"3106"
"","7","",JANINA,COURT,WHEELERS HILL,"3150"
"2","31","",KERR,STREET,BLACKBURN,"3130"
"","22","",COLCHESTER,DRIVE,DONCASTER EAST,"3109"
"","3","",LYNDA,COURT,DONCASTER EAST,"3109"
"","21","",BRITTEN,STREET,GLEN IRIS,"3146"
"","22","",GYTON,AVENUE,GLEN WAVERLEY,"3150"
"","26","",FLOWERDALE,ROAD,GLEN IRIS,"3146"
"2","13","",CAMPBELL,STREET,GLEN WAVERLEY,"3150"
"","34","",GLENVALE,CRESCENT,MULGRAVE,"3170"
"","198","",HUNTINGDALE,ROAD,MOUNT WAVERLEY,"3149"
"","32","",MAHONEY,STREET,TEMPLESTOWE,"3106"
"","3","",BEAUFORT,STREET,MITCHAM,"3132"
"1","17","",MIMOSA,STREET,GLEN WAVERLEY,"3150"
"1","27","",RANGE,STREET,CAMBERWELL,"3124"
"","46","",THROUGH,ROAD,CAMBERWELL,"3124"
"2","11","",BELMONT,AVENUE,GLEN IRIS,"3146"
"9","12","",BELMONT,AVENUE,GLEN IRIS,"3146"
"","19","",BOWEN,CRESCENT,BURWOOD EAST,"3151"
"","17","",SEVILLE,STREET,CAMBERWELL,"3124"
"","3","",BERWICK,STREET,CAMBERWELL,"3124"
"","14","",SUGARLOAF,CLOSE,BURWOOD EAST,"3151"
"","16","",HUTCHINSON,STREET,BURWOOD EAST,"3151"
"","31","",MILVERTON,STREET,CAMBERWELL,"3124"
"","10","",BRYNMAWR,ROAD,CAMBERWELL,"3124"
"","8","",ROCHDALE,DRIVE,BURWOOD EAST,"3151"
"","34","",PICKFORD,STREET,BURWOOD EAST,"3151"
"","60","",BRINSLEY,ROAD,CAMBERWELL,"3124"
"","17","",RUBY,STREET,BURWOOD EAST,"3151"
"","50","",MUDGEE,STREET,BURWOOD EAST,"3151"
"2","13","",IRWIN,STREET,CLAYTON,"3168"
"211","8","",POWER,AVENUE,ASHWOOD,"3147"
"404","6","",POWER,AVENUE,ASHWOOD,"3147"
"","99","",HILL,ROAD,BALWYN NORTH,"3104"
"","16","",URSA,STREET,BALWYN NORTH,"3104"
"","9","",KELBA,STREET,BALWYN NORTH,"3104"
"","11A","",BALFOUR,STREET,DONCASTER,"3108"
"","432","",WAVERLEY,ROAD,MOUNT WAVERLEY,"3149"
"","543","",MITCHAM,ROAD,VERMONT,"3133"
"5","34","36",EVA,STREET,CLAYTON,"3168"
"805","39","",KINGSWAY,,GLEN WAVERLEY,"3150"
"1","577","",CAMBERWELL,ROAD,CAMBERWELL,"3124"
"","20","",MOUNT,STREET,GLEN WAVERLEY,"3150"
"7","25","",HOWLEYS,ROAD,NOTTING HILL,"3168"
"2","105","",BURWOOD,HIGHWAY,BURWOOD EAST,"3151"
"","19","",HAROS,AVENUE,NUNAWADING,"3131"
"","39","",WESTGATE,STREET,OAKLEIGH,"3166"
"","51","",JEFFREY,DRIVE,RINGWOOD,"3134"
"","6","",RONALD,STREET,RINGWOOD,"3134"
"","11","",IRELAND,STREET,RINGWOOD,"3134"
"1","4","",BARDIA,STREET,RINGWOOD,"3134"
"","603","",STATION,STREET,BOX HILL,"3128"
"","5","",PEPPERMINT,GROVE,BOX HILL SOUTH,"3128"
"","12","",BLACKWOOD,DRIVE,WHEELERS HILL,"3150"
"3","33","35",THAMES,STREET,BOX HILL,"3128"
"","31","",AMBROSE,STREET,DONCASTER,"3108"
"","20","",SAGE,STREET,OAKLEIGH EAST,"3166"
"","37","41",OXFORD,STREET,OAKLEIGH,"3166"
"2","20","",PALMERSTON,GROVE,OAKLEIGH,"3166"
"","4","",GORDON,AVENUE,OAKLEIGH EAST,"3166"
"16","8","12",RUPERT,STREET,RINGWOOD,"3134"
"2","40","",MAIDSTONE,STREET,RINGWOOD,"3134"
